User ID,Registration Date,Current Subscription Status,Date of Premium Subscription,Number of Videos Watched,Total Watch Time,Primary Device,Age Group,Country,Favorite Genre,Number of Customer Support Interactions,Net Promoter Score,Engagement Trend,Social Shares
1001,2023-09-19,Premium,2023-09-23,96,138.7,Desktop,45-54,Brazil,Sci-Fi,1,8,Decreasing,3
1002,2023-09-27,Premium,2023-09-30,63,79.4,Mobile,18-24,USA,Comedy,3,4,Increasing,2
1003,2023-05-10,Premium,2023-06-07,46,55.4,Desktop,25-34,Canada,Comedy,3,5,Stable,0
1004,2023-09-05,Premium,2023-09-07,87,72.9,Mobile,25-34,Spain,Comedy,3,6,Increasing,3
1005,2023-05-24,Premium,2023-06-18,121,118.4,Tablet,25-34,Canada,Romance,5,3,Increasing,4
1006,2023-08-13,Premium,2023-09-11,14,11.3,Desktop,55-64,UK,Comedy,1,8,Decreasing,0
1007,2023-04-10,Premium,2023-04-24,36,62.6,Smart TV,25-34,UK,Documentary,1,9,Stable,1
1008,2023-05-29,Premium,2023-06-21,99,128.3,Tablet,25-34,Spain,Action,1,8,Increasing,3
1009,2023-07-25,Free,,18,21.7,Mobile,25-34,Canada,Romance,4,5,Stable,0
1010,2023-09-03,Premium,2023-09-10,116,133.1,Smart TV,25-34,USA,Action,2,7,Decreasing,3
1011,2023-04-27,Premium,2023-05-06,64,41.2,Mobile,25-34,Spain,Sci-Fi,2,8,Increasing,2
1012,2023-04-07,Premium,2023-05-07,34,30.1,Desktop,45-54,Canada,Romance,2,7,Decreasing,1
1013,2023-09-18,Premium,2023-09-23,69,82.1,Tablet,65+,UK,Drama,2,7,Stable,3
1014,2023-05-01,Premium,2023-05-27,44,41.1,Mobile,45-54,Japan,Drama,1,8,Decreasing,1
1015,2023-09-02,Free,,49,53.0,Smart TV,45-54,Brazil,Sci-Fi,1,4,Increasing,1
1016,2023-06-13,Free,,79,109.3,Tablet,35-44,Germany,Romance,1,0,Increasing,2
1017,2023-04-16,Premium,2023-04-30,110,115.6,Smart TV,18-24,UK,Comedy,2,7,Increasing,3
1018,2023-05-21,Premium,2023-06-07,65,75.8,Desktop,35-44,France,Romance,3,7,Increasing,1
1019,2023-07-11,Free,,54,68.3,Tablet,55-64,Japan,Romance,1,0,Stable,0
1020,2023-08-16,Premium,2023-09-09,147,177.0,Tablet,65+,France,Drama,5,2,Increasing,1
1021,2023-09-03,Free,,73,68.4,Desktop,65+,Germany,Comedy,4,5,Increasing,2
1022,2023-04-22,Premium,2023-05-19,38,56.7,Desktop,45-54,Brazil,Romance,2,5,Stable,1
1023,2023-04-18,Premium,2023-05-04,38,38.9,Desktop,18-24,France,Comedy,0,9,Stable,0
1024,2023-04-29,Free,,37,52.2,Desktop,45-54,USA,Romance,2,6,Stable,0
1025,2023-09-15,Premium,2023-09-26,92,104.2,Tablet,65+,Australia,Comedy,2,6,Decreasing,1
1026,2023-08-20,Premium,2023-08-28,78,101.0,Mobile,65+,Canada,Action,3,6,Increasing,1
1027,2023-04-16,Free,,50,73.4,Mobile,65+,Japan,Romance,2,3,Decreasing,1
1028,2023-07-01,Premium,2023-07-21,32,27.0,Mobile,18-24,France,Comedy,2,5,Increasing,1
1029,2023-08-28,Premium,2023-09-04,69,101.0,Tablet,35-44,Australia,Romance,4,5,Increasing,1
1030,2023-07-01,Premium,2023-07-11,21,42.0,Tablet,65+,Italy,Drama,1,7,Stable,0
1031,2023-09-09,Premium,2023-09-11,41,55.5,Tablet,35-44,Japan,Romance,4,5,Decreasing,1
1032,2023-09-18,Premium,2023-09-29,25,33.7,Tablet,25-34,Japan,Sci-Fi,2,7,Increasing,0
1033,2023-08-29,Premium,2023-09-14,84,120.9,Mobile,65+,Germany,Documentary,2,5,Stable,1
1034,2023-04-13,Premium,2023-05-07,161,165.1,Mobile,55-64,Italy,Action,3,6,Increasing,5
1035,2023-07-16,Premium,2023-08-14,79,96.5,Tablet,65+,Canada,Romance,0,8,Stable,3
1036,2023-07-28,Free,,28,26.4,Tablet,18-24,Australia,Documentary,1,2,Stable,1
1037,2023-09-10,Free,,33,40.1,Mobile,25-34,UK,Action,2,3,Increasing,1
1038,2023-08-08,Premium,2023-08-26,58,79.3,Tablet,35-44,Japan,Drama,4,3,Stable,1
1039,2023-06-01,Premium,2023-06-30,55,50.3,Desktop,18-24,France,Documentary,3,4,Decreasing,0
1040,2023-04-23,Free,,9,9.8,Tablet,45-54,Italy,Sci-Fi,0,4,Stable,0
1041,2023-08-03,Premium,2023-08-21,71,100.5,Mobile,65+,UK,Romance,3,4,Stable,3
1042,2023-09-03,Premium,2023-09-04,62,50.5,Tablet,55-64,Brazil,Comedy,5,4,Increasing,2
1043,2023-09-19,Premium,2023-09-24,35,48.2,Tablet,35-44,Brazil,Comedy,5,3,Decreasing,0
1044,2023-09-13,Premium,2023-09-23,28,45.8,Mobile,25-34,UK,Action,1,7,Increasing,1
1045,2023-09-19,Free,,55,59.8,Mobile,35-44,Australia,Documentary,4,3,Stable,0
1046,2023-04-11,Premium,2023-04-19,18,33.4,Smart TV,25-34,Germany,Comedy,0,8,Decreasing,0
1047,2023-06-09,Premium,2023-06-16,91,100.6,Tablet,18-24,Australia,Comedy,5,2,Increasing,2
1048,2023-09-29,Premium,2023-09-30,89,89.0,Tablet,18-24,USA,Comedy,3,5,Decreasing,1
1049,2023-07-09,Premium,2023-07-23,49,64.5,Mobile,35-44,Spain,Documentary,4,6,Stable,2
1050,2023-04-20,Premium,2023-05-02,77,115.7,Tablet,18-24,Spain,Comedy,5,2,Decreasing,3
1051,2023-05-07,Premium,2023-05-26,64,74.5,Tablet,18-24,Brazil,Documentary,0,8,Stable,1
1052,2023-04-12,Free,,65,80.6,Desktop,18-24,USA,Comedy,0,9,Stable,1
1053,2023-05-20,Premium,2023-05-24,91,136.1,Desktop,18-24,USA,Action,2,6,Increasing,3
1054,2023-06-22,Free,,76,81.7,Desktop,25-34,UK,Action,2,8,Stable,1
1055,2023-07-09,Premium,2023-07-28,23,35.8,Desktop,25-34,Italy,Romance,1,9,Stable,0
1056,2023-06-03,Free,,80,120.4,Smart TV,18-24,USA,Drama,2,4,Stable,2
1057,2023-06-22,Premium,2023-07-17,91,128.0,Tablet,35-44,France,Action,3,6,Decreasing,0
1058,2023-08-25,Free,,126,166.0,Smart TV,45-54,Canada,Comedy,2,0,Decreasing,5
1059,2023-05-15,Premium,2023-06-09,34,39.0,Tablet,18-24,Canada,Drama,1,6,Decreasing,1
1060,2023-06-30,Premium,2023-07-22,131,174.9,Smart TV,65+,Japan,Sci-Fi,2,7,Stable,3
1061,2023-09-11,Premium,2023-09-21,110,157.9,Smart TV,18-24,Spain,Action,0,10,Stable,2
1062,2023-07-23,Premium,2023-08-12,131,163.2,Mobile,55-64,Italy,Drama,5,4,Increasing,4
1063,2023-08-27,Premium,2023-09-19,88,80.2,Tablet,55-64,UK,Action,0,10,Increasing,1
1064,2023-04-22,Premium,2023-05-17,66,53.6,Mobile,45-54,USA,Documentary,3,7,Stable,2
1065,2023-06-24,Premium,2023-07-06,64,91.0,Smart TV,25-34,Germany,Action,4,3,Stable,0
1066,2023-05-13,Premium,2023-05-31,101,139.3,Desktop,65+,Italy,Action,2,7,Increasing,2
1067,2023-08-25,Premium,2023-09-18,84,104.1,Mobile,65+,Australia,Action,0,9,Decreasing,2
1068,2023-04-22,Premium,2023-05-10,9,15.3,Mobile,35-44,Japan,Comedy,0,9,Stable,0
1069,2023-06-10,Premium,2023-07-09,108,126.6,Mobile,35-44,Canada,Action,2,7,Decreasing,1
1070,2023-08-17,Premium,2023-09-10,115,137.2,Tablet,25-34,France,Action,3,6,Decreasing,4
1071,2023-05-12,Premium,2023-06-04,64,60.4,Desktop,35-44,France,Sci-Fi,1,9,Stable,2
1072,2023-07-24,Free,,68,90.6,Tablet,45-54,USA,Drama,3,0,Increasing,3
1073,2023-06-28,Free,,104,117.0,Desktop,65+,USA,Comedy,3,3,Increasing,2
1074,2023-08-22,Free,,76,84.4,Smart TV,45-54,Australia,Romance,0,7,Increasing,1
1075,2023-04-11,Free,,42,53.9,Tablet,35-44,Spain,Sci-Fi,4,0,Decreasing,1
1076,2023-06-20,Premium,2023-07-09,48,56.9,Tablet,18-24,Germany,Comedy,0,8,Stable,0
1077,2023-04-15,Premium,2023-04-21,137,143.8,Tablet,25-34,Germany,Comedy,5,3,Increasing,4
1078,2023-06-14,Premium,2023-07-07,136,196.2,Smart TV,18-24,Japan,Documentary,1,8,Increasing,3
1079,2023-07-02,Premium,2023-07-12,130,193.7,Tablet,18-24,UK,Comedy,3,6,Increasing,4
1080,2023-09-30,Premium,2023-10-01,115,154.8,Smart TV,45-54,Japan,Romance,4,4,Decreasing,2
1081,2023-08-27,Premium,2023-09-17,114,108.9,Mobile,18-24,France,Documentary,4,4,Increasing,4
1082,2023-04-23,Free,,73,102.8,Desktop,35-44,Australia,Comedy,3,0,Stable,2
1083,2023-05-14,Premium,2023-06-06,18,23.6,Tablet,45-54,Brazil,Sci-Fi,5,5,Stable,0
